2020-04-23 03:03:26 status installed libsctp1:amd64 1.0.18+dfsg-1
2020-04-23 03:03:26 configure libc-dev-bin:amd64 2.28-10 <none>
2020-04-23 03:03:26 status unpacked libc-dev-bin:amd64 2.28-10
2020-04-23 03:03:26 status half-configured libc-dev-bin:amd64 2.28-10
2020-04-23 03:03:26 status installed libc-dev-bin:amd64 2.28-10
2020-04-23 03:03:26 configure libgdbm6:amd64 1.18.1-4 <none>
2020-04-23 03:03:26 status unpacked libgdbm6:amd64 1.18.1-4
2020-04-23 03:03:26 status half-configured libgdbm6:amd64 1.18.1-4
2020-04-23 03:03:26 status installed libgdbm6:amd64 1.18.1-4
2020-04-23 03:03:26 configure libaprutil1:amd64 1.6.1-4 <none>
2020-04-23 03:03:26 status unpacked libaprutil1:amd64 1.6.1-4
2020-04-23 03:03:26 status half-configured libaprutil1:amd64 1.6.1-4
2020-04-23 03:03:26 status installed libaprutil1:amd64 1.6.1-4
2020-04-23 03:03:26 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1 <none>
2020-04-23 03:03:26 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:26 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:26 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:26 configure libaprutil1-ldap:amd64 1.6.1-4 <none>
2020-04-23 03:03:26 status unpacked libaprutil1-ldap:amd64 1.6.1-4
2020-04-23 03:03:26 status half-configured libaprutil1-ldap:amd64 1.6.1-4
2020-04-23 03:03:26 status installed libaprutil1-ldap:amd64 1.6.1-4
2020-04-23 03:03:26 configure libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1 <none>
2020-04-23 03:03:26 status unpacked libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:26 status half-configured libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:26 status installed libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1
